,p1_1,p1_2,p1_3,p1_4,p1_5,p1_6,p1_7,p1_8,p2_1,p2_2,p2_3,p2_4,p2_5,p2_6,p2_7,p2_8,p1_crowns,p2_crowns
1156,Giant,Skeleton Army,Witch,Musketeer,Dark Prince,Bats,Goblin Gang,Bowler,Golem,Graveyard,Skeleton Army,Skeletons,Electro Wizard,Goblin Hut,Minions,Arrows,1,0
1157,The Log,Skeletons,Bats,Magic Archer,Ice Golem,Ice Spirit,Mirror,Tornado,Tornado,Freeze,Baby Dragon,Ice Wizard,The Log,Bowler,Executioner,Graveyard,0,1
1158,The Log,Skeletons,Bats,Magic Archer,Ice Golem,Ice Spirit,Mirror,Tornado,Ice Golem,Ice Spirit,Musketeer,Balloon,Freeze,Skeletons,Lumberjack,Giant Snowball,1,0
1159,The Log,Skeletons,Bats,Magic Archer,Ice Golem,Ice Spirit,Mirror,Tornado,Goblin Giant,Valkyrie,Executioner,Tornado,Ice Spirit,Skeletons,Earthquake,The Log,0,1
1160,The Log,Skeletons,Bats,Magic Archer,Ice Golem,Ice Spirit,Mirror,Tornado,Fireball,Prince,Zap,Mega Minion,Giant,Electro Dragon,Miner,The Log,1,0
1161,Miner,Wall Breakers,Bomb Tower,Ice Wizard,Rocket,Tornado,Valkyrie,Goblins,Zap,Mega Minion,Flying Machine,Goblin Hut,Night Witch,Golem,Poison,Skeleton Army,0,1
1162,Miner,Wall Breakers,Bomb Tower,Ice Wizard,Rocket,Tornado,Valkyrie,Goblins,Skeleton Army,The Log,Hog Rider,Fireball,Minions,Mini P.E.K.K.A,Goblin Barrel,Valkyrie,1,0
1163,Miner,Wall Breakers,Bomb Tower,Ice Wizard,Rocket,Tornado,Valkyrie,Goblins,Bandit,P.E.K.K.A,Dart Goblin,Mega Knight,Arrows,Rage,Electro Wizard,Barbarian Barrel,1,0
1164,Miner,Wall Breakers,Bomb Tower,Ice Wizard,Rocket,Tornado,Valkyrie,Goblins,Balloon,Ice Golem,Lumberjack,Zap,Bats,Barbarian Barrel,Inferno Tower,Rascals,0,1
1165,Executioner,Miner,Rocket,Royal Giant,Goblins,The Log,Tornado,Valkyrie,Minions,Golem,Arrows,Mini P.E.K.K.A,Miner,Valkyrie,Wizard,Lightning,1,0
1166,Freeze,Ice Spirit,Tornado,Zap,Lumberjack,Balloon,Skeletons,Ice Wizard,Valkyrie,Bats,Zap,The Log,Witch,Goblin Gang,Mega Knight,Sparky,0,1
1167,Freeze,Fireball,Tornado,Zap,Lumberjack,Balloon,Tombstone,Ice Wizard,Mega Knight,Balloon,Rage,Witch,Electro Wizard,Wizard,Ice Wizard,Lumberjack,0,1
1168,Freeze,Fireball,Tornado,Zap,Lumberjack,Balloon,Tombstone,Ice Wizard,P.E.K.K.A,Prince,Dark Prince,Executioner,Mega Minion,Tornado,Earthquake,Zap,0,1
1169,Freeze,Fireball,Tornado,Zap,Lumberjack,Balloon,Tombstone,Ice Wizard,Mega Knight,Lumberjack,Freeze,Archers,Balloon,Barbarian Barrel,Miner,Electro Wizard,1,0
1170,Freeze,Fireball,Tornado,Zap,Lumberjack,Balloon,Tombstone,Ice Wizard,Electro Wizard,Mega Knight,Witch,Balloon,Poison,Wizard,Clone,Skeleton Army,1,0
1171,Freeze,Fireball,Tornado,Zap,Lumberjack,Balloon,Tombstone,Ice Wizard,Mega Knight,Inferno Dragon,Electro Wizard,The Log,Dark Prince,Wizard,Hog Rider,Zap,1,0
1172,Freeze,Fireball,Tornado,Zap,Lumberjack,Balloon,Tombstone,Ice Wizard,Baby Dragon,Goblin Barrel,Witch,Mega Knight,Valkyrie,Magic Archer,Goblin Cage,Skeleton Army,1,0
1173,Sparky,Mega Minion,Giant,Fireball,Minion Horde,Skeleton Army,Barbarians,Zap,Freeze,Balloon,Skeleton Army,Arrows,Zap,Wizard,Elite Barbarians,Fireball,0,1
1174,Tornado,Skeleton Army,Magic Archer,Valkyrie,Freeze,Executioner,Graveyard,Mega Knight,Skeletons,Giant,Executioner,Night Witch,Freeze,Bandit,Graveyard,Tornado,1,0
1175,Tornado,Skeleton Army,Magic Archer,Valkyrie,Freeze,Executioner,Graveyard,Mega Knight,Poison,Mini P.E.K.K.A,Battle Ram,Executioner,Bandit,Electro Wizard,Lumberjack,Mega Knight,1,0
1176,Skeletons,Tornado,Poison,Bomb Tower,Valkyrie,Executioner,Rocket,X-Bow,Magic Archer,Goblin Gang,Bats,Miner,Mega Knight,Inferno Dragon,Wall Breakers,Zap,1,0
1177,Skeletons,Tornado,Poison,Bomb Tower,Valkyrie,Executioner,Rocket,X-Bow,Miner,Valkyrie,Executioner,Tornado,Poison,Royal Giant,Skeletons,The Log,0,1
1178,Skeletons,Tornado,Poison,Bomb Tower,Valkyrie,Executioner,Rocket,X-Bow,Mega Knight,Magic Archer,Bomb Tower,Valkyrie,Tornado,Graveyard,Executioner,Freeze,1,0
1179,Skeletons,Tornado,Poison,Bomb Tower,Valkyrie,Executioner,Rocket,X-Bow,X-Bow,Knight,Archers,Magic Archer,Tesla,Skeletons,The Log,Fireball,0,0
1180,Skeletons,Tornado,Poison,Bomb Tower,Valkyrie,Executioner,Rocket,X-Bow,Magic Archer,Minion Horde,Valkyrie,Freeze,Rage,Baby Dragon,Goblin Gang,Balloon,1,3
1181,Skeletons,Tornado,Poison,Bomb Tower,Valkyrie,Executioner,Rocket,X-Bow,Royal Giant,Skeletons,Electro Wizard,The Log,Lightning,Mega Minion,Baby Dragon,Furnace,0,3
1182,Skeletons,Barbarian Barrel,Ice Wizard,Tornado,Bomb Tower,Baby Dragon,Lightning,Royal Giant,Baby Dragon,Night Witch,Tornado,Golem,Goblin Cage,Executioner,Barbarian Barrel,Rocket,0,3
1183,Skeletons,Tornado,Poison,Bomb Tower,Valkyrie,Executioner,Rocket,X-Bow,Valkyrie,Royal Giant,Skeletons,Tornado,Executioner,The Log,Tesla,Rocket,1,0
1184,Skeletons,Tornado,Poison,Bomb Tower,Valkyrie,Executioner,Rocket,X-Bow,Graveyard,Electro Wizard,Ice Wizard,Bowler,Valkyrie,Inferno Tower,Poison,Tornado,1,0
1186,Skeletons,Tornado,Poison,Bomb Tower,Valkyrie,Executioner,Rocket,X-Bow,Royal Giant,Baby Dragon,Lightning,Mega Minion,Lumberjack,The Log,Furnace,Electro Wizard,1,0
1187,Tornado,Magic Archer,Valkyrie,Bomb Tower,Freeze,Executioner,Graveyard,Mega Knight,Golem,Baby Dragon,Night Witch,Barbarian Barrel,Ice Wizard,Goblin Cage,Rocket,Tornado,1,0
1188,Tornado,Magic Archer,Valkyrie,Bomb Tower,Freeze,Executioner,Graveyard,Mega Knight,Cannon Cart,Mega Minion,Archers,Ice Golem,Bomb Tower,Graveyard,Freeze,Poison,1,0
1189,P.E.K.K.A,Royal Giant,Skeletons,Magic Archer,Executioner,Tornado,Lightning,The Log,X-Bow,Valkyrie,Ice Wizard,Rocket,Skeletons,Tornado,Tesla,The Log,1,0
1190,P.E.K.K.A,Royal Giant,Skeletons,Magic Archer,Executioner,Tornado,Lightning,The Log,Electro Wizard,Tornado,Elixir Golem,Executioner,Night Witch,Lightning,Sparky,The Log,1,0
1191,P.E.K.K.A,Royal Giant,Skeletons,Magic Archer,Executioner,Tornado,Lightning,The Log,P.E.K.K.A,Dark Prince,Tornado,Skeleton Army,Princess,Zap,Sparky,Mega Minion,1,0
1192,P.E.K.K.A,Royal Giant,Skeletons,Magic Archer,Executioner,Tornado,Lightning,The Log,Mini P.E.K.K.A,Rocket,Fireball,Musketeer,The Log,Furnace,Hog Rider,Valkyrie,1,0
1193,P.E.K.K.A,Royal Giant,Skeletons,Magic Archer,Executioner,Tornado,Lightning,The Log,Mega Knight,Executioner,Tornado,Balloon,Miner,Zap,Ice Spirit,Skeletons,1,0
1194,P.E.K.K.A,Royal Giant,Skeletons,Magic Archer,Executioner,Tornado,Lightning,The Log,Princess,Knight,The Log,Inferno Tower,Ice Spirit,Rocket,Goblin Gang,Goblin Barrel,1,0
1195,P.E.K.K.A,Royal Giant,Skeletons,Magic Archer,Executioner,Tornado,Lightning,The Log,Balloon,Minion Horde,Valkyrie,Giant Skeleton,Fireball,Baby Dragon,Skeleton Army,Prince,1,0
1196,P.E.K.K.A,Royal Giant,Skeletons,Magic Archer,Executioner,Tornado,Lightning,The Log,Ram Rider,The Log,Valkyrie,Tornado,Poison,Executioner,Electro Dragon,Skeletons,1,0
1197,P.E.K.K.A,Royal Giant,Skeletons,Magic Archer,Executioner,Tornado,Lightning,The Log,Royal Giant,Earthquake,Executioner,Goblin Cage,Tornado,Zap,Mega Minion,Skeletons,1,0
1198,P.E.K.K.A,Royal Giant,Skeletons,Magic Archer,Executioner,Tornado,Lightning,The Log,Skeleton Army,Wizard,Poison,Zap,Lumberjack,Golem,Tornado,Mega Minion,1,0
1199,P.E.K.K.A,Royal Giant,Skeletons,Magic Archer,Executioner,Tornado,Lightning,The Log,Witch,The Log,Ice Wizard,Barbarians,Princess,Valkyrie,Wizard,Miner,1,0
1200,P.E.K.K.A,Royal Giant,Skeletons,Magic Archer,Executioner,Tornado,Lightning,The Log,The Log,Skeletons,Elixir Golem,Freeze,Executioner,Tornado,Graveyard,Tombstone,0,1
1201,Zap,Minions,Barbarian Barrel,Musketeer,Wall Breakers,Bandit,Miner,Mega Knight,Miner,Three Musketeers,Elixir Collector,Ice Golem,Battle Ram,Goblin Gang,Minion Horde,Zap,1,0
1202,Zap,Minions,Barbarian Barrel,Musketeer,Wall Breakers,Bandit,Miner,Mega Knight,Miner,Goblins,The Log,Valkyrie,Bats,Rocket,Tornado,Executioner,1,0
1203,Zap,Minions,Barbarian Barrel,Musketeer,Wall Breakers,Bandit,Miner,Mega Knight,Mortar,Bats,Miner,Goblin Gang,Fireball,Zap,Rascals,Dart Goblin,3,0
1204,Royal Giant,Miner,Valkyrie,Executioner,Goblins,Zap,Earthquake,Tornado,Electro Wizard,P.E.K.K.A,Skeleton Army,Wizard,Inferno Dragon,Goblin Barrel,Arrows,The Log,1,0
1205,Cannon Cart,Mega Minion,Archers,Ice Golem,Bomb Tower,Graveyard,Poison,Giant Snowball,Giant,Skeletons,Executioner,Night Witch,Poison,Graveyard,Tornado,Barbarian Barrel,0,1
1206,Cannon Cart,Mega Minion,Archers,Ice Golem,Bomb Tower,Graveyard,Poison,Giant Snowball,Miner,The Log,Poison,Wall Breakers,Executioner,Tornado,Valkyrie,Goblin Cage,0,1
1207,Cannon Cart,Mega Minion,Archers,Ice Golem,Bomb Tower,Graveyard,Poison,Giant Snowball,Zap,Valkyrie,Executioner,Elixir Golem,Bandit,Poison,Miner,Night Witch,2,1
1208,Cannon Cart,Mega Minion,Archers,Ice Golem,Bomb Tower,Graveyard,Poison,Giant Snowball,Elixir Golem,Executioner,Night Witch,Poison,Tornado,The Log,Skeletons,Graveyard,3,0
1209,Cannon Cart,Mega Minion,Archers,Ice Golem,Bomb Tower,Graveyard,Poison,Giant Snowball,Bats,Bomb Tower,The Log,Magic Archer,Miner,Skeletons,Valkyrie,Wall Breakers,0,1
1210,Cannon Cart,Mega Minion,Archers,Ice Golem,Bomb Tower,Graveyard,Poison,Giant Snowball,Princess,Ice Golem,Mini P.E.K.K.A,Hog Rider,Ice Spirit,Bats,The Log,Rocket,1,0
1211,Mega Knight,Goblin Barrel,Goblin Cage,Princess,Wall Breakers,Goblin Gang,Bats,Dart Goblin,Wall Breakers,Magic Archer,Bomb Tower,Bats,Valkyrie,Miner,Zap,Skeletons,1,0
1212,Mega Knight,Goblin Barrel,Goblin Cage,Princess,Wall Breakers,Goblin Gang,Bats,Dart Goblin,Ice Golem,Graveyard,Archers,Tesla,Poison,Freeze,Bats,Skeleton Army,1,0
1213,Mega Knight,Goblin Barrel,Goblin Cage,Princess,Wall Breakers,Goblin Gang,Bats,Dart Goblin,Elixir Golem,Night Witch,Ram Rider,Magic Archer,Executioner,Tornado,Freeze,Miner,3,2
1214,Mega Knight,Goblin Barrel,Goblin Cage,Princess,Wall Breakers,Goblin Gang,Bats,Dart Goblin,Bandit,Electro Wizard,Magic Archer,P.E.K.K.A,Ram Rider,Lightning,Barbarian Barrel,Giant Snowball,1,0
1215,Mega Knight,Goblin Barrel,Goblin Cage,Princess,Wall Breakers,Goblin Gang,Bats,Dart Goblin,Goblin Barrel,Mega Knight,Giant Skeleton,The Log,Magic Archer,Inferno Tower,Zap,Bats,1,0
1216,Mega Knight,Goblin Barrel,Goblin Cage,Princess,Wall Breakers,Goblin Gang,Bats,Dart Goblin,Princess,Zap,Mini P.E.K.K.A,Baby Dragon,Royal Giant,Hog Rider,The Log,Barbarians,1,0
1217,Mega Knight,Goblin Barrel,Goblin Cage,Princess,Wall Breakers,Goblin Gang,Bats,Dart Goblin,Mega Knight,Ram Rider,Zap,Poison,Electro Wizard,Bandit,Lumberjack,Magic Archer,1,0
1218,Mega Knight,Goblin Barrel,Goblin Cage,Princess,Wall Breakers,Goblin Gang,Bats,Dart Goblin,Night Witch,Executioner,Golem,Rocket,Elixir Collector,Bats,Tornado,Goblin Gang,2,0
1219,The Log,Miner,Ice Golem,Tornado,Night Witch,Princess,Mirror,Skeletons,Graveyard,Knight,Archers,Goblin Gang,Executioner,Tornado,Freeze,Baby Dragon,1,2
1220,The Log,Miner,Ice Golem,Zap,Night Witch,Magic Archer,Mirror,Skeletons,Golem,Night Witch,Magic Archer,Executioner,Goblin Cage,Barbarian Barrel,Tornado,Rocket,0,1
1221,Executioner,Baby Dragon,Elixir Golem,Night Witch,Sparky,Tornado,Freeze,Zap,Bats,Wizard,Ice Golem,Zap,Hog Rider,Elite Barbarians,Tornado,Rage,0,1
1222,Executioner,Baby Dragon,Elixir Golem,Night Witch,Sparky,Tornado,Freeze,Zap,Wizard,Rage,Balloon,Valkyrie,Bandit,Baby Dragon,Lumberjack,Hog Rider,1,0
1223,Executioner,Baby Dragon,Elixir Golem,Night Witch,Sparky,Tornado,Freeze,Zap,Lumberjack,Fire Spirits,Baby Dragon,The Log,Bandit,Archers,Goblin Barrel,Zap,0,1
1224,Executioner,Baby Dragon,Elixir Golem,Night Witch,Sparky,Tornado,Freeze,Zap,Knight,Witch,Skeleton Army,Ram Rider,Fireball,Valkyrie,Wizard,Night Witch,1,0
1225,Executioner,Baby Dragon,Elixir Golem,Night Witch,Sparky,Tornado,Freeze,Zap,Archers,Lumberjack,Balloon,Freeze,Barbarian Barrel,Miner,Mega Knight,Electro Wizard,0,1
1226,Executioner,Baby Dragon,Elixir Golem,Night Witch,Sparky,Tornado,Freeze,Zap,Cannon Cart,Mega Minion,Archers,Ice Golem,Bomb Tower,Graveyard,Freeze,Giant Snowball,0,1
1227,Princess,Goblin Barrel,The Log,Inferno Tower,Minion Horde,Goblin Gang,Skeleton Army,Miner,Arrows,Furnace,Lightning,Minions,Balloon,Lava Hound,Goblin Gang,Inferno Dragon,1,0
1228,Musketeer,Bowler,Freeze,Graveyard,Archers,Knight,Tesla,Zap,Baby Dragon,Guards,Tornado,Graveyard,Executioner,Bowler,Ice Wizard,Freeze,0,1
1229,Musketeer,Bowler,Freeze,Graveyard,Archers,Knight,Tesla,Zap,Lumberjack,Elixir Golem,Balloon,Princess,Freeze,Tesla,Bats,Zap,1,0
1230,Musketeer,Bowler,Freeze,Graveyard,Archers,Knight,Tesla,Zap,Mirror,Zap,Inferno Dragon,Valkyrie,Ram Rider,Rocket,Executioner,Tornado,1,0
1231,Musketeer,Bowler,Freeze,Graveyard,Archers,Knight,Tesla,Zap,Goblin Barrel,Goblin Gang,Bandit,Rocket,Princess,Rascals,Dark Prince,The Log,0,1
1232,Musketeer,Bowler,Freeze,Graveyard,Archers,Knight,Tesla,Zap,Balloon,Freeze,Skeleton Army,Valkyrie,Lumberjack,Wizard,Zap,Executioner,1,0
1233,Musketeer,Bowler,Freeze,Graveyard,Archers,Knight,Tesla,Zap,Mega Knight,Graveyard,Night Witch,Goblin Cage,Baby Dragon,Poison,Electro Wizard,Barbarian Barrel,0,1
1234,Musketeer,Bowler,Freeze,Graveyard,Archers,Knight,Tesla,Zap,Ice Wizard,Poison,Giant Skeleton,Graveyard,Tornado,Bowler,Tombstone,Baby Dragon,1,0
1235,Musketeer,Bowler,Freeze,Graveyard,Archers,Knight,Tesla,Zap,Graveyard,Tornado,Valkyrie,Poison,Ice Wizard,Baby Dragon,Barbarian Barrel,Tombstone,1,0
1236,Musketeer,Bowler,Freeze,Graveyard,Archers,Knight,Tesla,Zap,Mega Knight,Clone,Mini P.E.K.K.A,Freeze,Executioner,Giant Skeleton,Rage,Witch,1,0
1237,Musketeer,Bowler,Freeze,Graveyard,Archers,Knight,Tesla,Zap,Mega Knight,Hog Rider,Sparky,Zap,Executioner,Electro Wizard,Tornado,Skeleton Army,0,1
1238,Musketeer,Bowler,Freeze,Graveyard,Archers,Knight,Tesla,Zap,Knight,Princess,Goblin Barrel,Inferno Tower,Rocket,Goblin Gang,The Log,Ice Spirit,1,0
1239,Musketeer,Bowler,Freeze,Graveyard,Archers,Knight,Tesla,Zap,Mirror,Miner,Fire Spirits,Skeleton Army,Goblin Barrel,Clone,Goblin Gang,Rocket,1,0
1240,Musketeer,Bowler,Freeze,Graveyard,Archers,Knight,Tesla,Zap,The Log,Goblin Gang,Lightning,Hog Rider,Tesla,Tornado,Valkyrie,Executioner,1,0
1241,Musketeer,Bowler,Freeze,Graveyard,Archers,Knight,Tesla,Zap,Zap,Minions,Arrows,Valkyrie,Prince,Lightning,Skeleton Army,Mega Knight,0,1
1242,Musketeer,Bowler,Freeze,Graveyard,Archers,Knight,Tesla,Zap,Witch,Goblin Barrel,Inferno Tower,Rocket,Princess,Skeleton Army,Hog Rider,The Log,1,0
1243,Musketeer,Bowler,Freeze,Graveyard,Archers,Knight,Tesla,Zap,Mini P.E.K.K.A,Prince,Sparky,Electro Dragon,Executioner,Furnace,Mega Knight,Wizard,1,0
1244,Musketeer,Bowler,Freeze,Graveyard,Archers,Knight,Tesla,Zap,Electro Wizard,Bandit,Musketeer,Barbarian Barrel,Giant Snowball,Mega Knight,Ram Rider,Minions,1,0
1245,Musketeer,Bowler,Freeze,Graveyard,Archers,Knight,Tesla,Zap,Wizard,Minion Horde,Hog Rider,Rage,Valkyrie,Balloon,Mini P.E.K.K.A,Skeleton Army,1,0
1246,Musketeer,Bowler,Freeze,Graveyard,Archers,Knight,Tesla,Zap,Bowler,Graveyard,Baby Dragon,Executioner,Ice Wizard,Guards,Tornado,Freeze,1,0
1247,Musketeer,Bowler,Freeze,Graveyard,Archers,Knight,Tesla,Zap,Skeleton Army,Balloon,Lumberjack,Zap,Valkyrie,Baby Dragon,Bats,Freeze,1,0
1248,Musketeer,Bowler,Freeze,Graveyard,Archers,Knight,Tesla,Zap,Wizard,Goblin Gang,Witch,The Log,Skeleton Army,Hog Rider,Fireball,Princess,1,0
1249,Giant,Graveyard,Skeleton Army,Tornado,Giant Snowball,Bats,Spear Goblins,Executioner,Skeletons,Ice Spirit,Lightning,Tornado,Zap,Executioner,Mega Knight,Royal Giant,3,0
1250,Elixir Golem,Graveyard,Skeleton Army,Tornado,Giant Snowball,Bats,Spear Goblins,Executioner,Elixir Golem,Ice Wizard,Night Witch,Electro Dragon,Tornado,Poison,Barbarian Barrel,Mega Knight,3,0
1251,Elixir Golem,Graveyard,Skeleton Army,Tornado,Giant Snowball,Bats,Spear Goblins,Executioner,Giant,Minions,Baby Dragon,Miner,Goblin Gang,Night Witch,Rocket,Giant Snowball,2,1
1252,Elixir Golem,Graveyard,Skeleton Army,Tornado,Giant Snowball,Bats,Spear Goblins,Executioner,Ice Spirit,Skeletons,Tesla,The Log,Miner,Electro Wizard,Knight,Poison,1,0
1253,Elixir Golem,Graveyard,Skeleton Army,Tornado,Giant Snowball,Bats,Spear Goblins,Executioner,Wall Breakers,Prince,Valkyrie,Goblin Barrel,Princess,Giant Snowball,Dart Goblin,Goblin Gang,0,2
1254,Elixir Golem,Graveyard,Skeleton Army,Tornado,Giant Snowball,Bats,Spear Goblins,Executioner,Royal Giant,Goblin Barrel,Mega Knight,Electro Wizard,Skeleton Army,Giant Skeleton,Minion Horde,Arrows,2,1
1255,Giant,Graveyard,Skeleton Army,Tornado,Giant Snowball,Bats,Spear Goblins,Executioner,The Log,Elixir Golem,Sparky,Electro Wizard,Tornado,Poison,Executioner,Night Witch,2,1
1256,Giant,Graveyard,Skeleton Army,Tornado,Giant Snowball,Bats,Spear Goblins,Executioner,Royal Giant,Miner,Knight,Executioner,Goblins,The Log,Fireball,Tornado,2,1
1257,Giant,Graveyard,Skeleton Army,Tornado,Giant Snowball,Bats,Spear Goblins,Executioner,Dart Goblin,Fire Spirits,Wall Breakers,Princess,Knight,Spear Goblins,Tesla,Poison,1,0
1258,Giant,Graveyard,Skeleton Army,Tornado,Giant Snowball,Bats,Spear Goblins,Executioner,Ice Spirit,Dart Goblin,Valkyrie,Tesla,Goblin Barrel,Princess,Skeletons,The Log,2,1
1259,Zap,Bats,Ice Spirit,Fireball,Giant,Musketeer,Mini P.E.K.K.A,The Log,Knight,Goblin Gang,Ice Spirit,Tesla,Princess,The Log,Rocket,Goblin Barrel,3,0
1260,Giant,Graveyard,Skeleton Army,Tornado,Giant Snowball,Bats,Mini P.E.K.K.A,Executioner,Zap,Baby Dragon,Knight,Mini P.E.K.K.A,Bats,Mega Knight,Electro Wizard,Hog Rider,1,0
1261,Tornado,Elixir Golem,Skeletons,Executioner,Night Witch,Magic Archer,Poison,The Log,Ice Wizard,X-Bow,Tornado,Skeletons,Valkyrie,Tesla,Rocket,The Log,0,1
1262,Tornado,Elixir Golem,Skeletons,Executioner,Night Witch,Magic Archer,Poison,The Log,X-Bow,Ice Wizard,The Log,Tesla,Rocket,Skeletons,Knight,Tornado,1,0
1263,Tornado,Elixir Golem,Skeletons,Executioner,Night Witch,Magic Archer,Poison,The Log,Guards,Bowler,Tornado,Executioner,Freeze,Graveyard,Baby Dragon,Ice Wizard,0,1
1264,Tornado,Elixir Golem,Skeletons,Executioner,Night Witch,Magic Archer,Poison,The Log,Rocket,Princess,Prince,Goblin Barrel,Rascals,Dart Goblin,Goblin Gang,The Log,1,0
1265,Tornado,Elixir Golem,Skeletons,Executioner,Night Witch,Magic Archer,Poison,The Log,The Log,Bomb Tower,Valkyrie,Magic Archer,Poison,Miner,Wall Breakers,Bats,0,1
1266,Tornado,Elixir Golem,Skeletons,Executioner,Night Witch,Magic Archer,Poison,The Log,Lumberjack,Barbarian Barrel,Giant Snowball,Ice Golem,Freeze,Bats,Musketeer,Balloon,1,0
1267,Tornado,Elixir Golem,Skeletons,Executioner,Night Witch,Magic Archer,Poison,The Log,Inferno Tower,Giant Skeleton,Tombstone,Zap,Princess,Bomber,Dart Goblin,Goblin Barrel,1,0
1268,Bandit,Baby Dragon,Miner,Electro Wizard,P.E.K.K.A,Poison,Tornado,Night Witch,Ice Spirit,Hog Rider,Skeletons,Ice Golem,The Log,Musketeer,Fireball,Cannon,1,0
1269,Bandit,Baby Dragon,Miner,Electro Wizard,P.E.K.K.A,Poison,Tornado,Night Witch,Bomber,Minions,Witch,Skeleton Army,Fireball,Giant Skeleton,Prince,Rage,3,0
1270,Bandit,Baby Dragon,Miner,Electro Wizard,P.E.K.K.A,Poison,Tornado,Night Witch,Minion Horde,Dark Prince,Wizard,Royal Hogs,Rascals,Rage,Skeleton Army,Rocket,3,0
1271,Magic Archer,Executioner,Skeletons,Night Witch,Elixir Golem,Rocket,The Log,Tornado,X-Bow,Ice Golem,The Log,Tesla,Skeletons,Fireball,Archers,Ice Spirit,1,0
1272,Magic Archer,Executioner,Skeletons,Night Witch,Elixir Golem,Rocket,The Log,Tornado,Zap,Bats,Wall Breakers,Miner,Dart Goblin,Goblin Gang,Executioner,Mega Knight,1,0
1273,Magic Archer,Executioner,Skeletons,Night Witch,Elixir Golem,Rocket,The Log,Tornado,Bats,Dart Goblin,Executioner,Goblin Gang,Mega Knight,Miner,Wall Breakers,Zap,1,0
1274,Magic Archer,Executioner,Skeletons,Night Witch,Elixir Golem,Rocket,The Log,Tornado,Valkyrie,Bomb Tower,Bats,Skeletons,Magic Archer,Miner,Wall Breakers,Zap,1,0
1275,Magic Archer,Executioner,Skeletons,Night Witch,Elixir Golem,Rocket,The Log,Tornado,P.E.K.K.A,Magic Archer,Bandit,Battle Ram,Poison,Royal Ghost,Electro Wizard,Zap,0,1
1276,Magic Archer,Executioner,Skeletons,Night Witch,Elixir Golem,Rocket,The Log,Tornado,Rascals,Barbarian Hut,Giant Skeleton,Clone,Witch,Wall Breakers,Tornado,Ice Wizard,1,0
1277,Magic Archer,Executioner,Skeletons,Night Witch,Elixir Golem,Rocket,The Log,Tornado,Executioner,Tornado,Sparky,Zap,Giant Skeleton,Skeleton Army,Goblin Barrel,Mirror,1,0
1278,Magic Archer,Executioner,Skeletons,Night Witch,Elixir Golem,Rocket,The Log,Tornado,Ice Spirit,Zap,Skeletons,Valkyrie,Balloon,Tornado,Executioner,Miner,1,0
1279,Royal Giant,Executioner,Baby Dragon,Lightning,Tornado,Tombstone,Skeletons,Barbarian Barrel,Bats,The Log,Bomb Tower,Goblin Giant,Magic Archer,Valkyrie,Miner,Wall Breakers,1,0
1280,Royal Giant,Executioner,Baby Dragon,Lightning,Ice Wizard,Tombstone,Skeletons,Barbarian Barrel,P.E.K.K.A,Electro Wizard,Royal Ghost,Bandit,Battle Ram,Poison,Zap,Magic Archer,1,0
1281,Golem,Night Witch,Baby Dragon,Executioner,Goblin Cage,Barbarian Barrel,Tornado,Lightning,Princess,Ice Wizard,Fireball,Royal Giant,Minion Horde,Barbarians,Furnace,Zap,2,1
1282,Golem,Night Witch,Baby Dragon,Executioner,Goblin Cage,Barbarian Barrel,Tornado,Lightning,Golem,Night Witch,Tornado,Mega Minion,Elixir Collector,Baby Dragon,Lumberjack,Zap,1,0
1283,Golem,Night Witch,Baby Dragon,Executioner,Goblin Cage,Barbarian Barrel,Tornado,Lightning,Ice Golem,Zap,Miner,Three Musketeers,Minion Horde,Goblin Gang,The Log,Battle Ram,3,1
1284,Golem,Night Witch,Baby Dragon,Executioner,Goblin Cage,Barbarian Barrel,Tornado,Lightning,Witch,Bandit,Baby Dragon,The Log,Inferno Tower,Miner,Musketeer,Sparky,3,0
1285,Golem,Night Witch,Baby Dragon,Executioner,Goblin Cage,Barbarian Barrel,Tornado,Lightning,Electro Wizard,Mega Knight,The Log,Lumberjack,Skeleton Army,Executioner,Balloon,Inferno Tower,1,0
1286,Golem,Night Witch,Baby Dragon,Executioner,Goblin Cage,Barbarian Barrel,Tornado,Lightning,The Log,Mini P.E.K.K.A,Goblin Barrel,Witch,Wizard,Balloon,Prince,Skeleton Army,1,0
1287,Golem,Night Witch,Baby Dragon,Executioner,Goblin Cage,Barbarian Barrel,Tornado,Lightning,Wall Breakers,Hog Rider,Bats,Miner,Ice Wizard,Inferno Dragon,Valkyrie,Giant Snowball,3,2
1288,Golem,Night Witch,Baby Dragon,Executioner,Goblin Cage,Barbarian Barrel,Tornado,Lightning,Executioner,Valkyrie,Electro Wizard,Inferno Dragon,Bandit,Mega Knight,Prince,Arrows,1,0
1289,Golem,Night Witch,Baby Dragon,Executioner,Goblin Cage,Barbarian Barrel,Tornado,Lightning,Miner,Royal Giant,Goblin Barrel,Witch,Arrows,Wizard,Baby Dragon,Skeleton Army,3,0
1290,Golem,Night Witch,Baby Dragon,Executioner,Goblin Cage,Barbarian Barrel,Tornado,Lightning,Wall Breakers,Hunter,Sparky,Goblin Barrel,Heal,Guards,Tornado,Rocket,0,3
1291,Golem,Night Witch,Baby Dragon,Executioner,Goblin Cage,Barbarian Barrel,Tornado,Lightning,Miner,Valkyrie,Goblin Gang,Hog Rider,Musketeer,Goblin Cage,Poison,The Log,3,0
